gra,,,Sala,,,,,,
Unidad,Semana,Clase,Contenido,Estado,Modalidad,"Lecturas Asignadas
(Previo a la clase)","Encargado
Acta",Hito,Observaciones
INTRO,"1
17-8",0,Introducción al curso (cátedra y laboratorio),,Presencial,"Meltzoff, J., & Cooper, H. (2018).",,,
FUNDAMENTOS,"2
24-8",Cat,"Fundamentos, metateorías, enfoques",,Online,Sousa (2010),,,
,,Cat,"Fundamentos, metateorías, enfoques",,Online,Lor (2011),,,
,,,,,,,,,
ÉTICA,"3
31-8",Cat,Ética en investigación (rol del investigador/a) - Fundamentos,,,Declaración de Singapour,,,
,,Cat,Ética en investigación (rol del investigador/a) - Fundamentos,,,,,,
,,Lab,Asistencia Obligatoria (Reuniones grupal) - Identificación ideas de Investigación,,,,,,
,"4
7-9",Cat,Ética en investigación (rol del investigador/a) - Presentación de casos estudiantes,,,,,Presentaciones estudiantes,
,,Cat,Ética en investigación (rol del investigador/a) - Presentación de casos estudiantes,,,,,Presentaciones estudiantes,
,,Lab,Asistencia Obligatoria (Reuniones grupal) - Identificación ideas de Investigación,,,,,,
,14/9,,RECESO FIESTAS PATRIAS,,,,,,
,"5
21-9",Cat,Ética en investigación (tratamiento seres humanos/datos sensibles) - Fundamentos,,,,,,
,,Cat,Ética en investigación (tratamiento seres humanos/datos sensibles) - Fundamentos,,,,,,
,,Lab,Asistencia Obligatoria (Reuniones grupal) - Refinación y selección problema de investigación,,,,,,
,"6
28-9",Cat,Ética en investigación (tratamiento seres humanos/datos sensibles) - Presentación de casos estudiantes,,,,,Presentaciones estudiantes,
,,Cat,Ética en investigación (tratamiento seres humanos/datos sensibles) - Presentación de casos estudiantes,,,,,Presentaciones estudiantes,
,,Lab,Asistencia Opcional (Reuniones grupal) - Refinación proyecto de investigación,,,,,,
REV. LITERATURA,"7
5-10",Cat,"Revisión Bibliográfica (cátedra) - (WOS, SCOPUS, JCR [Factor de Impacto], SJR, Quartile Score, Editoriales, Bases de datos bibliográficas, etc)
Systematic Mapping Review (SMR), Systematic Literature Review (SLR), Snowballing Review",,,,,,
,,Cat,"Revisión Bibliográfica (cátedra) - (WOS, SCOPUS, JCR [Factor de Impacto], SJR, Quartile Score, Editoriales, Bases de datos bibliográficas, etc)
Systematic Mapping Review (SMR), Systematic Literature Review (SLR), Snowballing Review",,,,,,
,,Lab,Asistencia Opcional (Reuniones grupal) - Refinación proyecto de investigación,,,,,,
,"8
12-10",Cat,Técnicas de revisión de la literatura (Presentación Estudiantes),,Presencial,,,Presentaciones estudiantes,
,,Cat,Técnicas de revisión de la literatura (Presentación Estudiantes),,Presencial,,,Presentaciones estudiantes,
,,Lab,Entrega Anteproyecto,,,,,Entrega Anteproyecto (No hay una entrega formal),
M. CUANTITATIVOS,"9
19-10",Cat,Métodos Cuantitativos Parte I,,,,,,
,,Cat,Métodos Cuantitativos Parte II,,,,,,
,,Lab,Asistencia Opcional (Reuniones grupal) - Refinación proyecto de investigación,,,CERMONIA DE TITULACIÓN,CEREMONIA SUSPENDIDA,,
,"10
26-10",Cat,Métodos Cuantitativos Parte III,,,,,,
,,Cat,Métodos Cuantitativos Parte IV,,,,,Entrega revisión de Literatura Proyecto (Parcial),
,,Lab,Asistencia Opcional (Reuniones grupal) - Refinación proyecto de investigación,,,31/10 FERIADO,,,
,"11
2/11",Cat,Métodos Cuantitativos Parte V,,,,,,
,,Cat,Métodos Cuantitativos Parte VI,,,,,,
,,Lab,Asistencia Opcional (Reuniones grupal) - Refinación proyecto de investigación,,,,,,
,"12
9/11",Cat,Métodos Cuantitativos Parte VII,,,,,,
,,Cat,Métodos Cuantitativos Parte VIII,,,,,,
,,Lab,Asistencia Obligatoria (TODOS) - Presentación propuesta estudio cuantitativo proyecto,,,,,,
M. CUALITATIVOS,"13
16/11",Cat,Métodos Cualitativos Parte I,,,,,Entrega componente cuantitativa proyecto,
,,Cat,Métodos Cualitativos Parte II,,,,,,
,,Lab,Asistencia Opcional (Reuniones grupal) - Refinación proyecto de investigación,,,,,,
,"14
23/11",Cat,Métodos Cualitativos Parte III,,,,,Presentaciones estudiantes,
,,Cat,Métodos Cualitativos Parte IV,,,,,Presentaciones estudiantes,
,,Lab,Asistencia Obligatoria (TODOS) - Presentación propuesta estudio cualitativo proyecto,,,,,Presentaciones Estudiantes Métodos Cualitativos(Avance),
,"15
30/11",Cat,Presentaciones Proyecto,,,,,Entrega componente cualitativa proyecto,
,,Cat,Presentaciones Proyecto,,,,,,
,,Lab,Presentaciones Proyecto,,,,,,22/12
,"16
7/12",Cat,Presentaciones Proyecto,,,,,Entrega Final proyecto,
,,Cat,Presentaciones Proyecto,,,,,,
,,Lab,Presentaciones Proyecto,,,,,,
,"17
14/12",,Pendientes,,,,,,
